item_id,group,source_file,source_label,question_no,question_text,inferred_topic,cheatsheet_path,page_reference,solution_route,own_steps,needed_supplement,score_basis,estimated_score,max_score,normalized_percent,confidence,notes
Q0001,往年期末题-主目录,D:\虚拟C盘\学习\流体力学\题库\期末试题\2006.6流体力学期末真题.doc,2006.6流体力学期末真题.doc,1,1．第一部分 共20分，每题5分 [1]. 一直径为10cm长200m的光滑圆管水平连接着两个20℃的水槽，其中一个的水位为800m，另一为650m，问其流量约为多少？若管子粗糙，实际流量为100m3/h，问平均粗糙度是多少？ [2]. 一个直径2cm光滑铝球（SG=2.7）在20℃的静止水中下沉，若其基于迎风面积的阻力系数为0.5，问该球下沉的终极速度是多少。 [3]. 一个500K和200kPa的空气源为一喷管提供等熵流动，若在某截面的压力为150kPa，问该处的马赫数和温度各是多少？ [4]. 有一温度500K、压力300kPa的大空气容器连接一Laval喷管，其喉部面积为0.06平方米。若由其作定常等熵流动，最大质量流量为多少？,可压缩流/喷管/激波/膨胀波,P3 > 等熵流+Laval；P4 > 激波+膨胀波；Q4 > 第7章题库速解；R2 > 查表衔接；M14 > 查表动作；M26 > 可压查表,P3；P4,先判等熵、阻塞、内激波、斜激波或膨胀波；按 P3/P4 分段写公式；用 M26 明确输入量：等熵/面积用 M，正激波用 M1，斜激波用 M1、theta，PM 用 nu(M)；最后检查 pe/pb 和总压是否跨激波重置。,1. 判定等熵段、阻塞、激波或膨胀波；2. 写 T0/T、p0/p、A/A* 或激波关系；3. 选择亚声/超声支；4. 标出需要查表的 M、β、ν；5. 回代压力、温度、流量并检查 pe/pb。,斜激波图、PM 函数和面积-马赫数完整表仍可能需要教材；v80 把查表输入和后续接公式写得更明确。 v68 已补 M=1/2/3 的等熵、面积、PM 角和正激波锚点；完整斜激波/PM/面积查表仍需教材。 v80 保留喷管/激波/PM 查表动作和 0.528 易错判断，并补 Fanno 等截面绝热摩擦管入口；同时保留 Ma 物理意义、等熵任意两点、最大速度、弱/强斜激波、脱体激波、PM 最大偏转、背压/出口内压易错和波阻概念；复杂波系仍需按图逐段判支路。,主题命中“可压缩流/喷管/激波/膨胀波”，v80 基础过程覆盖约 81%。；仍依赖教材图表或读图；v80 有小查表/查表动作和收口模板，但不是完整数值表。,7.7,10.0,77.0,中高,
Q0002,往年期末题-主目录,D:\虚拟C盘\学习\流体力学\题库\期末试题\2006.6流体力学期末真题.doc,2006.6流体力学期末真题.doc,2,2．第二部分 共80分，每题20分 [1]. 一水池有20?C的水1 m3，其底部接一ε约为0.0012的粗糙圆管（见右图）。求此时的出口流量Q（m3/h）。如果流体为SAE 10W30 号油，问圆管出口为湍流还是层流？（提示：本题若需迭代，初始值，迭代步数） [2]. 一充满氦气的气球由一细线栓于地面，细线的重量、阻力皆可忽略，环境空气为20?C和一个大气压。气球不含氦气时的材料重量为0.2N。气球内的氦气压力为120kPa，直径50cm。求：若风速分别为（a）4m/s和（b）24m/s时θ角是多少。 [3]. 考虑20?C的水以5m/s的速度流过直径1.2米的圆柱。请问需要多大强度的偶极子?来模拟这一流动？如果远处来流静压为150kPa，应用无粘理论，给出角度θ为(a) 180?、 (b) 135?、和(c) 90?时圆柱表面的压力。若该圆柱有环量Γ，求其为多少时θ??35°和145°处有驻点。 [4]. 空气流过一连接两大气源的Laval喷管，连接喉部和下游气源的水银柱高为（如右图）。估算下游气源压力。喷管中有正激波吗？如果有，它是在喷管出口还是上游一些？如果该喷管精确地运行于超音速的设计条件，水银柱高应为多少？,粘性管路/沿程局部损失/泵水轮机,P5 > 管路损失；Q5 > 粘性流动题库速解；M21 > 题图决策卡；M22 > 误判；M26 > 管路/模型,P5,由 Q 求 V，算 Re，判层/湍；层流用 H-P 或 64/Re，光滑湍流可用 0.3164/Re^(1/4)，粗糙管查 Moody；局部损失用所在管段速度；汇总后代入机械能求目标量。,1. 由 Q 和管径求 V；2. 算 Re 判断层流/湍流；3. 取 lambda 或查 Moody/Colebrook；4. 汇总沿程/局部损失；5. 代入机械能方程求目标量。,局部损失系数、粗糙度和物性仍需题给或查教材；v80 明确了 Moody、光滑管和局部损失速度的收口。 v80 保留管路机械能、沿程/局部损失、泵/水轮机功率、Moody/Colebrook 入口，并补圆管层流抛物线速度分布、湍流丰满剖面和平均/最大速度易错。,主题命中“粘性管路/沿程局部损失/泵水轮机”，v80 基础过程覆盖约 85%。；仍依赖教材图表或读图；v80 有小查表/查表动作和收口模板，但不是完整数值表。,8.1,10.0,81.0,中高,
Q0003,往年期末题-主目录,D:\虚拟C盘\学习\流体力学\题库\期末试题\2006年流体力学期末试卷.doc,2006年流体力学期末试卷.doc,1,1．第一部分 共20分，每题5分 [1]. 一直径为10cm长200m的光滑圆管水平连接着两个20℃的水槽，其中一个的水位为800m，另一为650m，问其流量约为多少？若管子粗糙，实际流量为100m3/h，问平均粗糙度是多少？ [2]. 一个直径2cm光滑铝球（SG=2.7）在20℃的静止水中下沉，若其基于迎风面积的阻力系数为0.5，问该球下沉的终极速度是多少。 [3]. 一个500K和200kPa的空气源为一喷管提供等熵流动，若在某截面的压力为150kPa，问该处的马赫数和温度各是多少？ [4]. 有一温度500K、压力300kPa的大空气容器连接一Laval喷管，其喉部面积为0.06平方米。若由其作定常等熵流动，最大质量流量为多少？,可压缩流/喷管/激波/膨胀波,P3 > 等熵流+Laval；P4 > 激波+膨胀波；Q4 > 第7章题库速解；R2 > 查表衔接；M14 > 查表动作；M26 > 可压查表,P3；P4,先判等熵、阻塞、内激波、斜激波或膨胀波；按 P3/P4 分段写公式；用 M26 明确输入量：等熵/面积用 M，正激波用 M1，斜激波用 M1、theta，PM 用 nu(M)；最后检查 pe/pb 和总压是否跨激波重置。,1. 判定等熵段、阻塞、激波或膨胀波；2. 写 T0/T、p0/p、A/A* 或激波关系；3. 选择亚声/超声支；4. 标出需要查表的 M、β、ν；5. 回代压力、温度、流量并检查 pe/pb。,斜激波图、PM 函数和面积-马赫数完整表仍可能需要教材；v80 把查表输入和后续接公式写得更明确。 v68 已补 M=1/2/3 的等熵、面积、PM 角和正激波锚点；完整斜激波/PM/面积查表仍需教材。 v80 保留喷管/激波/PM 查表动作和 0.528 易错判断，并补 Fanno 等截面绝热摩擦管入口；同时保留 Ma 物理意义、等熵任意两点、最大速度、弱/强斜激波、脱体激波、PM 最大偏转、背压/出口内压易错和波阻概念；复杂波系仍需按图逐段判支路。,主题命中“可压缩流/喷管/激波/膨胀波”，v80 基础过程覆盖约 81%。；仍依赖教材图表或读图；v80 有小查表/查表动作和收口模板，但不是完整数值表。,7.7,10.0,77.0,中高,
Q0004,往年期末题-主目录,D:\虚拟C盘\学习\流体力学\题库\期末试题\2006年流体力学期末试卷.doc,2006年流体力学期末试卷.doc,2,2．第二部分 共80分，每题20分 [1]. 一水池有20?C的水1 m3，其底部接一ε约为0.0012的粗糙圆管（见右图）。求此时的出口流量Q（m3/h）。如果流体为SAE 10W30 号油，问圆管出口为湍流还是层流？（提示：本题若需迭代，初始值，迭代步数） [2]. 一充满氦气的气球由一细线栓于地面，细线的重量、阻力皆可忽略，环境空气为20?C和一个大气压。气球不含氦气时的材料重量为0.2N。气球内的氦气压力为120kPa，直径50cm。求：若风速分别为（a）4m/s和（b）24m/s时θ角是多少。 [3]. 考虑20?C的水以5m/s的速度流过直径1.2米的圆柱。请问需要多大强度的偶极子?来模拟这一流动？如果远处来流静压为150kPa，应用无粘理论，给出角度θ为(a) 180?、 (b) 135?、和(c) 90?时圆柱表面的压力。若该圆柱有环量Γ，求其为多少时θ??35°和145°处有驻点。 [4]. 空气流过一连接两大气源的Laval喷管，连接喉部和下游气源的水银柱高为（如右图）。估算下游气源压力。喷管中有正激波吗？如果有，它是在喷管出口还是上游一些？如果该喷管精确地运行于超音速的设计条件，水银柱高应为多少？ 更多清华大学本科试卷 尽在www.juanjuantx.com,粘性管路/沿程局部损失/泵水轮机,P5 > 管路损失；Q5 > 粘性流动题库速解；M21 > 题图决策卡；M22 > 误判；M26 > 管路/模型,P5,由 Q 求 V，算 Re，判层/湍；层流用 H-P 或 64/Re，光滑湍流可用 0.3164/Re^(1/4)，粗糙管查 Moody；局部损失用所在管段速度；汇总后代入机械能求目标量。,1. 由 Q 和管径求 V；2. 算 Re 判断层流/湍流；3. 取 lambda 或查 Moody/Colebrook；4. 汇总沿程/局部损失；5. 代入机械能方程求目标量。,局部损失系数、粗糙度和物性仍需题给或查教材；v80 明确了 Moody、光滑管和局部损失速度的收口。 v80 保留管路机械能、沿程/局部损失、泵/水轮机功率、Moody/Colebrook 入口，并补圆管层流抛物线速度分布、湍流丰满剖面和平均/最大速度易错。,主题命中“粘性管路/沿程局部损失/泵水轮机”，v80 基础过程覆盖约 85%。；仍依赖教材图表或读图；v80 有小查表/查表动作和收口模板，但不是完整数值表。,8.1,10.0,81.0,中高,
Q0005,往年期末题-主目录,D:\虚拟C盘\学习\流体力学\题库\期末试题\2007.7流体力学期末真题及答案.pdf,2007.7流体力学期末真题及答案.pdf,整卷,"[[PDF_PAGE 1]]

[[PDF_PAGE 2]]

[[PDF_PAGE 3]]

[[PDF_PAGE 4]]

[[PDF_PAGE 5]]

[[PDF_PAGE 6]]

[[PDF_PAGE 7]]

[[PDF_PAGE 8]]

[[PDF_PAGE 9]]",概念简答/定义解释,M18 > 往年题可能问法：一句话答案；M23 > 概念短答库；R6 > 可直接抄的结论句；M9 > 高频小问速答；M12 > 概念题保底,无直接页码,先定位 M18/M23/R6 的可抄定义句；按“定义一句+原因一句+后果一句”写；若有公式页，再补适用条件和易错点。,1. 先按题干关键词选模型；2. 在 v80 对应页写首个控制方程/公式；3. 把题给几何、单位和边界条件代入；4. 做代数求解或列出需要查图查表的位置；5. 检查单位、方向、绝压/表压或适用条件。,v80 已显著补强短答，但长论述、实验现象细节和教材原话仍可能扣少量分。 v67 补长论述结构，v69 补读图/收口检查，v80 补层流/湍流/渐变流可抄定义；教材原话仍可能扣分。 v80 已补 N-S 各项标准意义、控制体外力组成、层/湍速度剖面、Boussinesq 涡黏、水击波速因素、孔板/自由射流概念、渐变流测压管水头、Ma 物理意义与 0.3 判据、深水波定义、RTT 守恒入口、完全/部分相似短答和标准四行答案模板，适合先写过程分。,主题命中“概念简答/定义解释”，v80 基础过程覆盖约 89%。,8.9,10.0,89.0,中高,
Q0006,往年期末题-主目录,D:\虚拟C盘\学习\流体力学\题库\期末试题\工程流体力学期末考试及答案.pdf,工程流体力学期末考试及答案.pdf,1,1.流体力学研究中为什么要引入连续介质假设。（4 分）,概念简答/定义解释,M18 > 往年题可能问法：一句话答案；M23 > 概念短答库；R6 > 可直接抄的结论句；M9 > 高频小问速答；M12 > 概念题保底,无直接页码,先定位 M18/M23/R6 的可抄定义句；按“定义一句+原因一句+后果一句”写；若有公式页，再补适用条件和易错点。,1. 先按题干关键词选模型；2. 在 v80 对应页写首个控制方程/公式；3. 把题给几何、单位和边界条件代入；4. 做代数求解或列出需要查图查表的位置；5. 检查单位、方向、绝压/表压或适用条件。,v80 已显著补强短答，但长论述、实验现象细节和教材原话仍可能扣少量分。 v67 补长论述结构，v69 补读图/收口检查，v80 补层流/湍流/渐变流可抄定义；教材原话仍可能扣分。 v80 已补 N-S 各项标准意义、控制体外力组成、层/湍速度剖面、Boussinesq 涡黏、水击波速因素、孔板/自由射流概念、渐变流测压管水头、Ma 物理意义与 0.3 判据、深水波定义、RTT 守恒入口、完全/部分相似短答和标准四行答案模板，适合先写过程分。,主题命中“概念简答/定义解释”，v80 基础过程覆盖约 89%。,3.6,4.0,90.0,中,
Q0007,往年期末题-主目录,D:\虚拟C盘\学习\流体力学\题库\期末试题\工程流体力学期末考试及答案.pdf,工程流体力学期末考试及答案.pdf,2,2.如图所示，p 表示绝对压强，pa 表示大气压强，试在图中括号内填写所表示的压强。（4 分）,静水压力/测压/闸门,P1 > 静水压旧题急救；Q1 > 平面/曲面闸门完整答案骨架；M19 > 真空度/负表压；M21 > 题图决策卡,P1,先按静水压图题入口读液面和高程；用同高同压逐段写压力链；闸门题套 Q1 的合力、压力中心、铰链取矩；最后检查表压/绝压和负表压。,1. 选同一静止连通液体等压面；2. 沿竖直方向逐段加减 rho g h；3. 若为闸门，求 F 与压力中心；4. 对铰链或曲面分量列平衡；5. 判断表压/绝压。,满分仍需要题图高程、铰链位置、面积惯性矩或多液体界面读数；v80 已给模板但不能替代读图。,主题命中“静水压力/测压/闸门”，v80 基础过程覆盖约 84%。；仍依赖教材图表或读图；v80 有小查表/查表动作和收口模板，但不是完整数值表。,3.2,4.0,80.0,中,
Q0008,往年期末题-主目录,D:\虚拟C盘\学习\流体力学\题库\期末试题\工程流体力学期末考试及答案.pdf,工程流体力学期末考试及答案.pdf,3,3.如果流体的密度表示为ρ= ρ（x，y，z，t），分别写出它的当地导数和迁移导数的表达式（6 分）,概念简答/定义解释,M18 > 往年题可能问法：一句话答案；M23 > 概念短答库；R6 > 可直接抄的结论句；M9 > 高频小问速答；M12 > 概念题保底,无直接页码,先定位 M18/M23/R6 的可抄定义句；按“定义一句+原因一句+后果一句”写；若有公式页，再补适用条件和易错点。,1. 先按题干关键词选模型；2. 在 v80 对应页写首个控制方程/公式；3. 把题给几何、单位和边界条件代入；4. 做代数求解或列出需要查图查表的位置；5. 检查单位、方向、绝压/表压或适用条件。,v80 已显著补强短答，但长论述、实验现象细节和教材原话仍可能扣少量分。 v67 补长论述结构，v69 补读图/收口检查，v80 补层流/湍流/渐变流可抄定义；教材原话仍可能扣分。 v80 已补 N-S 各项标准意义、控制体外力组成、层/湍速度剖面、Boussinesq 涡黏、水击波速因素、孔板/自由射流概念、渐变流测压管水头、Ma 物理意义与 0.3 判据、深水波定义、RTT 守恒入口、完全/部分相似短答和标准四行答案模板，适合先写过程分。,主题命中“概念简答/定义解释”，v80 基础过程覆盖约 89%。；仍依赖教材图表或读图；v80 有小查表/查表动作和收口模板，但不是完整数值表。,5.1,6.0,85.0,中,
Q0009,往年期末题-主目录,D:\虚拟C盘\学习\流体力学\题库\期末试题\工程流体力学期末考试及答案.pdf,工程流体力学期末考试及答案.pdf,4,4.简述粘性流体绕流物体时产生阻力的原因。如何减少阻力? （6 分）,概念简答/定义解释,M18 > 往年题可能问法：一句话答案；M23 > 概念短答库；R6 > 可直接抄的结论句；M9 > 高频小问速答；M12 > 概念题保底,无直接页码,先定位 M18/M23/R6 的可抄定义句；按“定义一句+原因一句+后果一句”写；若有公式页，再补适用条件和易错点。,1. 先按题干关键词选模型；2. 在 v80 对应页写首个控制方程/公式；3. 把题给几何、单位和边界条件代入；4. 做代数求解或列出需要查图查表的位置；5. 检查单位、方向、绝压/表压或适用条件。,v80 已显著补强短答，但长论述、实验现象细节和教材原话仍可能扣少量分。 v67 补长论述结构，v69 补读图/收口检查，v80 补层流/湍流/渐变流可抄定义；教材原话仍可能扣分。 v80 已补 N-S 各项标准意义、控制体外力组成、层/湍速度剖面、Boussinesq 涡黏、水击波速因素、孔板/自由射流概念、渐变流测压管水头、Ma 物理意义与 0.3 判据、深水波定义、RTT 守恒入口、完全/部分相似短答和标准四行答案模板，适合先写过程分。,主题命中“概念简答/定义解释”，v80 基础过程覆盖约 89%。,5.3,6.0,88.3,中,
Q0010,往年期末题-主目录,D:\虚拟C盘\学习\流体力学\题库\期末试题\工程流体力学期末考试及答案.pdf,工程流体力学期末考试及答案.pdf,5,5.如图，在两块相距 20mm 的平板间充满动力粘度为 0.065（N·s）/m²的油，如果以 1m/s 速度拉动距上平板 5mm，面积为 0.5m²的薄板（不计厚度），求需要的拉力（12 分）。,边界层/外绕流阻力,P6 > 平板边界层；P6 > 位移/动量厚度；M24 > 边界层积分题；Q5 > 边界层题库速解；M13 > 微题,P6,先算 Re_x/Re_L 判层流、湍流或转捩；直接题用 delta、Cf、阻力公式；速度剖面题用 M24 的 delta*、theta 和 Karman 模板；外绕流判断摩擦/压差阻力和分离。,1. 算 Re_x 或 Re_L；2. 判断层流/湍流/低 Re；3. 选厚度、Cf 或阻力公式；4. 若为厚度定义题，尝试写积分；5. 说明 v80 缺失的定义或图表。,"复杂非零压梯度动量积分、实验阻力图和扫描图数值仍需教材/图表；v80 已覆盖书10.3/10.5 常见剖面。 v80 已补 delta*, theta, H 的物理意义；复杂动量积分推导仍需手算。 v80 已补局部摩阻系数 cf、单位宽阻力 D'、CD=2theta/L、转捩位置 xcr、平板层/湍/混合阻力判定和湿表面积/迎风面积区分；复杂分离与实验阻力图仍需教材。 v80 保留给定速度剖面到 delta、theta、delta_E、tau_w、CD 的通用积分链，补强 delta、delta*、theta、delta_E 的物理意义，保留层/湍速度剖面标准句、Boussinesq 涡黏、吸气/吹气修正、自由射流动量通量入口、Theta 分离判据和 Karman--Pohlhausen 配边界步骤。",主题命中“边界层/外绕流阻力”，v80 基础过程覆盖约 87%。；仍依赖教材图表或读图；v80 有小查表/查表动作和收口模板，但不是完整数值表。,10.0,12.0,83.3,中高,
