"Source","Line","Status","Title","Tokens"
"期末六页A4速查表_v106_严格母题子题六页版.tex","135","likely-covered","母题1 管路/静水/CV/基础读题：题干词到模型到公式链","母题1|管路|静水|CV"
"期末六页A4速查表_v106_严格母题子题六页版.tex","137","likely-covered","两油箱/水池--变径管PVZ主例","两油箱|水池--变径管PVZ主例"
"期末六页A4速查表_v106_严格母题子题六页版.tex","139","likely-covered","两油箱变径管15分真题：两问标准套写","两油箱变径管15分真题|两问标准套写"
"期末六页A4速查表_v106_严格母题子题六页版.tex","141","likely-covered","新卷读题定位法","新卷读题定位法"
"期末六页A4速查表_v106_严格母题子题六页版.tex","146","likely-covered","题干关键词定位","题干关键词定位"
"期末六页A4速查表_v106_严格母题子题六页版.tex","159","likely-covered","常数与基本量","常数与基本量"
"期末六页A4速查表_v106_严格母题子题六页版.tex","164","likely-covered","连续性","连续性"
"期末六页A4速查表_v106_严格母题子题六页版.tex","167","likely-covered","控制体动量/动量守恒模板","控制体动量|动量守恒模板"
"期末六页A4速查表_v106_严格母题子题六页版.tex","178","likely-covered","伯努利/机械能","伯努利|机械能"
"期末六页A4速查表_v106_严格母题子题六页版.tex","184","likely-covered","静水压常见题流程","静水压常见题流程"
"期末六页A4速查表_v106_严格母题子题六页版.tex","188","likely-covered","要求量 首写/公式链 检查点","要求量|首写|公式链|检查点"
"期末六页A4速查表_v106_严格母题子题六页版.tex","196","likely-covered","建模第一句话","建模第一句话"
"期末六页A4速查表_v106_严格母题子题六页版.tex","199","likely-covered","模型首句模板","模型首句模板"
"期末六页A4速查表_v106_严格母题子题六页版.tex","201","likely-covered","速度场题","速度场题"
"期末六页A4速查表_v106_严格母题子题六页版.tex","203","likely-covered","运动描述名词","运动描述名词"
"期末六页A4速查表_v106_严格母题子题六页版.tex","205","likely-covered","旋度/应变/应力","旋度|应变|应力"
"期末六页A4速查表_v106_严格母题子题六页版.tex","207","likely-covered","静水压补充模板","静水压补充模板"
"期末六页A4速查表_v106_严格母题子题六页版.tex","209","likely-covered","量纲分析模板","量纲分析模板"
"期末六页A4速查表_v106_严格母题子题六页版.tex","211","likely-covered","控制体受力图检查","控制体受力图检查"
"期末六页A4速查表_v106_严格母题子题六页版.tex","213","likely-covered","应力张量题","应力张量题"
"期末六页A4速查表_v106_严格母题子题六页版.tex","215","likely-covered","平面受压常用惯性矩","平面受压常用惯性矩"
"期末六页A4速查表_v106_严格母题子题六页版.tex","217","likely-covered","小孔/水箱出流","小孔|水箱出流"
"期末六页A4速查表_v106_严格母题子题六页版.tex","219","likely-covered","U管振荡","U管振荡"
"期末六页A4速查表_v106_严格母题子题六页版.tex","222","likely-covered","母题2 理想不可压无旋势流：基本流、镜像、圆柱、环量","母题2|理想不可压无旋势流|基本流|镜像"
"期末六页A4速查表_v106_严格母题子题六页版.tex","224","likely-covered","基本条件","基本条件"
"期末六页A4速查表_v106_严格母题子题六页版.tex","230","likely-covered","基本流表","基本流表"
"期末六页A4速查表_v106_严格母题子题六页版.tex","240","likely-covered","看到题先搭哪几个基元","看到题先搭哪几个基元"
"期末六页A4速查表_v106_严格母题子题六页版.tex","248","likely-covered","给速度求","给速度求"
"期末六页A4速查表_v106_严格母题子题六页版.tex","253","likely-covered","圆柱绕流","圆柱绕流"
"期末六页A4速查表_v106_严格母题子题六页版.tex","258","likely-covered","圆柱绕流答题模板","圆柱绕流答题模板"
"期末六页A4速查表_v106_严格母题子题六页版.tex","261","likely-covered","半圆柱气膜馆15分：圆柱绕流升力","半圆柱气膜馆15分|圆柱绕流升力"
"期末六页A4速查表_v106_严格母题子题六页版.tex","266","likely-covered","有环量/升力","有环量|升力"
"期末六页A4速查表_v106_严格母题子题六页版.tex","269","likely-covered","镜像法/边角","镜像法|边角"
"期末六页A4速查表_v106_严格母题子题六页版.tex","272","likely-covered","源汇/驻点常用算式","源汇|驻点常用算式"
"期末六页A4速查表_v106_严格母题子题六页版.tex","275","likely-covered","势流模型公式链骨架","势流模型公式链骨架"
"期末六页A4速查表_v106_严格母题子题六页版.tex","284","likely-covered","伯努利用法","伯努利用法"
"期末六页A4速查表_v106_严格母题子题六页版.tex","286","likely-covered","给速度场求势/流函数例式","给速度场求势|流函数例式"
"期末六页A4速查表_v106_严格母题子题六页版.tex","288","likely-covered","源/涡压力题","涡压力题"
"期末六页A4速查表_v106_严格母题子题六页版.tex","290","likely-covered","圆柱绕流公式链","圆柱绕流公式链"
"期末六页A4速查表_v106_严格母题子题六页版.tex","292","likely-covered","保角/边角题","保角|边角题"
"期末六页A4速查表_v106_严格母题子题六页版.tex","295","likely-covered","标准结论句","标准结论句"
"期末六页A4速查表_v106_严格母题子题六页版.tex","300","likely-covered","基本公式","基本公式"
"期末六页A4速查表_v106_严格母题子题六页版.tex","314","likely-covered","临界/阻塞","临界|阻塞"
"期末六页A4速查表_v106_严格母题子题六页版.tex","321","likely-covered","总量、静量、背压别混","总量|静量|背压别混"
"期末六页A4速查表_v106_严格母题子题六页版.tex","324","likely-covered","面积--马赫数","面积--马赫数"
"期末六页A4速查表_v106_严格母题子题六页版.tex","331","likely-covered","质量流量","质量流量"
"期末六页A4速查表_v106_严格母题子题六页版.tex","338","likely-covered","Ma作为中间变量","Ma作为中间变量"
"期末六页A4速查表_v106_严格母题子题六页版.tex","341","likely-covered","Laval 背压状态","Laval|背压状态"
"期末六页A4速查表_v106_严格母题子题六页版.tex","351","likely-covered","收缩喷管题","收缩喷管题"
"期末六页A4速查表_v106_严格母题子题六页版.tex","354","likely-covered","收缩喷管/背压标准步骤","收缩喷管|背压标准步骤"
"期末六页A4速查表_v106_严格母题子题六页版.tex","357","likely-covered","Laval面积/流量题","Laval面积|流量题"
"期末六页A4速查表_v106_严格母题子题六页版.tex","359","likely-covered","Laval面积比标准步骤","Laval面积比标准步骤"
"期末六页A4速查表_v106_严格母题子题六页版.tex","362","likely-covered","文丘里质量流量计","文丘里质量流量计"
"期末六页A4速查表_v106_严格母题子题六页版.tex","364","likely-covered","可压文丘里流量计标准步骤","可压文丘里流量计标准步骤"
"期末六页A4速查表_v106_严格母题子题六页版.tex","366","likely-covered","可压缩题判断树","可压缩题判断树"
"期末六页A4速查表_v106_严格母题子题六页版.tex","368","likely-covered","空气小表：等熵/面积/PM/正激波","空气小表|等熵|面积|PM"
"期末六页A4速查表_v106_严格母题子题六页版.tex","370","likely-covered","答题检查句","答题检查句"
"期末六页A4速查表_v106_严格母题子题六页版.tex","372","likely-covered","可压缩基础题","可压缩基础题"
"期末六页A4速查表_v106_严格母题子题六页版.tex","374","likely-covered","喷管出口状态三句话","喷管出口状态三句话"
"期末六页A4速查表_v106_严格母题子题六页版.tex","376","likely-covered","面积比求M查表替代","面积比求M查表替代"
"期末六页A4速查表_v106_严格母题子题六页版.tex","378","likely-covered","质量流量检查","质量流量检查"
"期末六页A4速查表_v106_严格母题子题六页版.tex","381","likely-covered","母题4 正激波、斜激波、膨胀波","母题4|正激波|斜激波|膨胀波"
"期末六页A4速查表_v106_严格母题子题六页版.tex","383","likely-covered","总判断","总判断"
"期末六页A4速查表_v106_严格母题子题六页版.tex","386","likely-covered","正激波","正激波"
"期末六页A4速查表_v106_严格母题子题六页版.tex","396","likely-covered","斜激波流程","斜激波流程"
"期末六页A4速查表_v106_严格母题子题六页版.tex","399","likely-covered","斜激波无表时","斜激波无表时"
"期末六页A4速查表_v106_严格母题子题六页版.tex","406","likely-covered","膨胀波/Prandtl-Meyer","膨胀波|Prandtl-Meyer"
"期末六页A4速查表_v106_严格母题子题六页版.tex","415","likely-covered","膨胀波后物理量","膨胀波后物理量"
"期末六页A4速查表_v106_严格母题子题六页版.tex","420","likely-covered","Laval管外膨胀模板","Laval管外膨胀模板"
"期末六页A4速查表_v106_严格母题子题六页版.tex","423","likely-covered","Laval管内正激波模板","Laval管内正激波模板"
"期末六页A4速查表_v106_严格母题子题六页版.tex","425","likely-covered","Laval内激波分段链","Laval内激波分段链"
"期末六页A4速查表_v106_严格母题子题六页版.tex","430","likely-covered","激波反射/相交题写法","激波反射|相交题写法"
"期末六页A4速查表_v106_严格母题子题六页版.tex","432","likely-covered","压缩角/膨胀角判断","压缩角|膨胀角判断"
"期末六页A4速查表_v106_严格母题子题六页版.tex","434","likely-covered","Laval背压八状态速记","Laval背压八状态速记"
