source,line,kind,title,tokens,hit_count,hits,covered
v106,135,\\chap\{([^{}]+)\},母题1 管路/静水/CV/基础读题：题干词到模型到公式链,母题|管路|静水|CV|基础读题|题干词到模型到公式链,6,母题|管路|静水|CV|基础读题|题干词到模型到公式链,True
v106,137,\\sect\{([^{}]+)\},两油箱/水池--变径管PVZ主例,两油箱|水池|变径管PVZ主例,3,两油箱|水池|变径管PVZ主例,True
v106,139,\\sect\{([^{}]+)\},两油箱变径管15分真题：两问标准套写,两油箱变径管|分真题|两问标准套写,3,两油箱变径管|分真题|两问标准套写,True
v106,141,\\sect\{([^{}]+)\},新卷读题定位法,新卷读题定位法,1,新卷读题定位法,True
v106,146,\\sect\{([^{}]+)\},题干关键词定位,题干关键词定位,1,题干关键词定位,True
v106,159,\\sect\{([^{}]+)\},常数与基本量,常数与基本量,1,常数与基本量,True
v106,164,\\sect\{([^{}]+)\},连续性,连续性,1,连续性,True
v106,167,\\sect\{([^{}]+)\},控制体动量/动量守恒模板,控制体动量|动量守恒模板,2,控制体动量|动量守恒模板,True
v106,178,\\sect\{([^{}]+)\},伯努利/机械能,伯努利|机械能,2,伯努利|机械能,True
v106,184,\\sect\{([^{}]+)\},静水压常见题流程,静水压常见题流程,1,静水压常见题流程,True
v106,188,\\sect\{([^{}]+)\},要求量$\to$首写/公式链$\to$检查点,要求量|to|首写|公式链|to|检查点,6,要求量|to|首写|公式链|to|检查点,True
v106,196,\\sect\{([^{}]+)\},建模第一句话,建模第一句话,1,建模第一句话,True
v106,199,\\sect\{([^{}]+)\},模型首句模板,模型首句模板,1,模型首句模板,True
v106,201,\\sect\{([^{}]+)\},速度场题,速度场题,1,速度场题,True
v106,203,\\sect\{([^{}]+)\},运动描述名词,运动描述名词,1,运动描述名词,True
v106,205,\\sect\{([^{}]+)\},旋度/应变/应力,旋度|应变|应力,3,旋度|应变|应力,True
v106,207,\\sect\{([^{}]+)\},静水压补充模板,静水压补充模板,1,静水压补充模板,True
v106,209,\\sect\{([^{}]+)\},量纲分析模板,量纲分析模板,1,量纲分析模板,True
v106,211,\\sect\{([^{}]+)\},控制体受力图检查,控制体受力图检查,1,控制体受力图检查,True
v106,213,\\sect\{([^{}]+)\},应力张量题,应力张量题,1,应力张量题,True
v106,215,\\sect\{([^{}]+)\},平面受压常用惯性矩,平面受压常用惯性矩,1,平面受压常用惯性矩,True
v106,217,\\sect\{([^{}]+)\},小孔/水箱出流,小孔|水箱出流,2,小孔|水箱出流,True
v106,219,\\sect\{([^{}]+)\},U管振荡,U管振荡,1,U管振荡,True
v106,222,\\chap\{([^{}]+)\},母题2 理想不可压无旋势流：基本流、镜像、圆柱、环量,母题|理想不可压无旋势流|基本流|镜像|圆柱|环量,6,母题|理想不可压无旋势流|基本流|镜像|圆柱|环量,True
v106,224,\\sect\{([^{}]+)\},基本条件,基本条件,1,基本条件,True
v106,230,\\sect\{([^{}]+)\},基本流表,基本流表,1,基本流表,True
v106,240,\\sect\{([^{}]+)\},看到题先搭哪几个基元,看到题先搭哪几个基元,1,看到题先搭哪几个基元,True
v106,248,\\sect\{([^{}]+)\},"给速度求$\varphi,\psi$",给速度求|varphi|psi,3,给速度求|varphi|psi,True
v106,253,\\sect\{([^{}]+)\},圆柱绕流,圆柱绕流,1,圆柱绕流,True
v106,258,\\sect\{([^{}]+)\},圆柱绕流答题模板,圆柱绕流答题模板,1,圆柱绕流答题模板,True
v106,261,\\sect\{([^{}]+)\},半圆柱气膜馆15分：圆柱绕流升力,半圆柱气膜馆|圆柱绕流升力,2,半圆柱气膜馆|圆柱绕流升力,True
v106,266,\\sect\{([^{}]+)\},有环量/升力,有环量|升力,2,有环量|升力,True
v106,269,\\sect\{([^{}]+)\},镜像法/边角,镜像法|边角,2,镜像法|边角,True
v106,272,\\sect\{([^{}]+)\},源汇/驻点常用算式,源汇|驻点常用算式,2,源汇|驻点常用算式,True
v106,275,\\sect\{([^{}]+)\},势流模型公式链骨架,势流模型公式链骨架,1,势流模型公式链骨架,True
v106,284,\\sect\{([^{}]+)\},伯努利用法,伯努利用法,1,伯努利用法,True
v106,286,\\sect\{([^{}]+)\},给速度场求势/流函数例式,给速度场求势|流函数例式,2,给速度场求势|流函数例式,True
v106,288,\\sect\{([^{}]+)\},源/涡压力题,涡压力题,1,涡压力题,True
v106,290,\\sect\{([^{}]+)\},圆柱绕流公式链,圆柱绕流公式链,1,圆柱绕流公式链,True
v106,292,\\sect\{([^{}]+)\},保角/边角题,保角|边角题,2,保角|边角题,True
v106,295,\\sect\{([^{}]+)\},标准结论句,标准结论句,1,标准结论句,True
v106,298,\\chap\{([^{}]+)\},母题3 可压缩等熵流与Laval喷管,母题|可压缩等熵流与Laval喷管,1,母题,True
v106,300,\\sect\{([^{}]+)\},基本公式,基本公式,1,基本公式,True
v106,314,\\sect\{([^{}]+)\},临界/阻塞,临界|阻塞,2,临界|阻塞,True
v106,321,\\sect\{([^{}]+)\},总量、静量、背压别混,总量|静量|背压别混,3,总量|静量|背压别混,True
v106,324,\\sect\{([^{}]+)\},面积--马赫数,面积|马赫数,2,面积|马赫数,True
v106,331,\\sect\{([^{}]+)\},质量流量,质量流量,1,质量流量,True
v106,338,\\sect\{([^{}]+)\},Ma作为中间变量,Ma作为中间变量,1,Ma作为中间变量,True
v106,341,\\sect\{([^{}]+)\},Laval 背压状态,Laval|背压状态,2,Laval|背压状态,True
v106,351,\\sect\{([^{}]+)\},收缩喷管题,收缩喷管题,1,收缩喷管题,True
v106,354,\\sect\{([^{}]+)\},收缩喷管/背压标准步骤,收缩喷管|背压标准步骤,2,收缩喷管|背压标准步骤,True
v106,357,\\sect\{([^{}]+)\},Laval面积/流量题,Laval面积|流量题,2,Laval面积|流量题,True
v106,359,\\sect\{([^{}]+)\},Laval面积比标准步骤,Laval面积比标准步骤,1,Laval面积比标准步骤,True
v106,362,\\sect\{([^{}]+)\},文丘里质量流量计,文丘里质量流量计,1,文丘里质量流量计,True
v106,364,\\sect\{([^{}]+)\},可压文丘里流量计标准步骤,可压文丘里流量计标准步骤,1,可压文丘里流量计标准步骤,True
v106,366,\\sect\{([^{}]+)\},可压缩题判断树,可压缩题判断树,1,可压缩题判断树,True
v106,368,\\sect\{([^{}]+)\},空气小表：等熵/面积/PM/正激波,空气小表|等熵|面积|PM|正激波,5,空气小表|等熵|面积|PM|正激波,True
v106,370,\\sect\{([^{}]+)\},答题检查句,答题检查句,1,答题检查句,True
v106,372,\\sect\{([^{}]+)\},可压缩基础题,可压缩基础题,1,可压缩基础题,True
v106,374,\\sect\{([^{}]+)\},喷管出口状态三句话,喷管出口状态三句话,1,喷管出口状态三句话,True
v106,376,\\sect\{([^{}]+)\},面积比求M查表替代,面积比求M查表替代,1,面积比求M查表替代,True
v106,378,\\sect\{([^{}]+)\},质量流量检查,质量流量检查,1,质量流量检查,True
v106,381,\\chap\{([^{}]+)\},母题4 正激波、斜激波、膨胀波,母题|正激波|斜激波|膨胀波,4,母题|正激波|斜激波|膨胀波,True
v106,383,\\sect\{([^{}]+)\},总判断,总判断,1,总判断,True
v106,386,\\sect\{([^{}]+)\},正激波,正激波,1,正激波,True
v106,396,\\sect\{([^{}]+)\},斜激波流程,斜激波流程,1,斜激波流程,True
v106,399,\\sect\{([^{}]+)\},斜激波无表时,斜激波无表时,1,斜激波无表时,True
v106,406,\\sect\{([^{}]+)\},膨胀波/Prandtl-Meyer,膨胀波|Prandtl|Meyer,3,膨胀波|Prandtl|Meyer,True
v106,415,\\sect\{([^{}]+)\},膨胀波后物理量,膨胀波后物理量,1,膨胀波后物理量,True
v106,420,\\sect\{([^{}]+)\},Laval管外膨胀模板,Laval管外膨胀模板,1,Laval管外膨胀模板,True
v106,423,\\sect\{([^{}]+)\},Laval管内正激波模板,Laval管内正激波模板,1,Laval管内正激波模板,True
v106,425,\\sect\{([^{}]+)\},Laval内激波分段链,Laval内激波分段链,1,Laval内激波分段链,True
v106,428,\\sect\{([^{}]+)\},易错,易错,1,易错,True
v106,430,\\sect\{([^{}]+)\},激波反射/相交题写法,激波反射|相交题写法,2,激波反射|相交题写法,True
v106,432,\\sect\{([^{}]+)\},压缩角/膨胀角判断,压缩角|膨胀角判断,2,压缩角|膨胀角判断,True
v106,434,\\sect\{([^{}]+)\},Laval背压八状态速记,Laval背压八状态速记,1,Laval背压八状态速记,True
v106,436,\\sect\{([^{}]+)\},过程分标准句,过程分标准句,1,过程分标准句,True
v106,438,\\sect\{([^{}]+)\},正激波常用极限,正激波常用极限,1,正激波常用极限,True
v106,440,\\sect\{([^{}]+)\},斜激波压力比,斜激波压力比,1,斜激波压力比,True
v106,442,\\sect\{([^{}]+)\},膨胀波常见题,膨胀波常见题,1,膨胀波常见题,True
v106,444,\\sect\{([^{}]+)\},管外膨胀简答句,管外膨胀简答句,1,管外膨胀简答句,True
v106,447,\\chap\{([^{}]+)\},母题5 粘性管流：N-S、H-P、Couette、管内压损,母题|粘性管流|Couette|管内压损,4,母题|粘性管流|Couette|管内压损,True
v106,449,\\sect\{([^{}]+)\},N-S 简化,简化,1,简化,True
v106,453,\\sect\{([^{}]+)\},H-P 圆管层流,圆管层流,1,圆管层流,True
v106,458,\\sect\{([^{}]+)\},广义压强写法,广义压强写法,1,广义压强写法,True
v106,461,\\sect\{([^{}]+)\},Couette 流,Couette,1,Couette,True
v106,466,\\sect\{([^{}]+)\},双层 Couette,双层|Couette,2,双层|Couette,True
v106,470,\\sect\{([^{}]+)\},管路损失/管内压损,管路损失|管内压损,2,管路损失|管内压损,True
v106,477,\\sect\{([^{}]+)\},管路题统一流程,管路题统一流程,1,管路题统一流程,True
v106,480,\\sect\{([^{}]+)\},常见模型模板,常见模型模板,1,常见模型模板,True
v106,491,\\sect\{([^{}]+)\},平板Poiseuille,平板Poiseuille,1,平板Poiseuille,True
v106,493,\\sect\{([^{}]+)\},Couette--Poiseuille合成,Couette|Poiseuille合成,2,Couette|Poiseuille合成,True
v106,495,\\sect\{([^{}]+)\},层流/湍流判定,层流|湍流判定,2,层流|湍流判定,True
v106,497,\\sect\{([^{}]+)\},压力降与剪力平衡,压力降与剪力平衡,1,压力降与剪力平衡,True
v106,499,\\sect\{([^{}]+)\},管内层流竖直流,管内层流竖直流,1,管内层流竖直流,True
v106,501,\\sect\{([^{}]+)\},层流解析题通用套路,层流解析题通用套路,1,层流解析题通用套路,True
v106,503,\\sect\{([^{}]+)\},泵/汽蚀判断,汽蚀判断,1,汽蚀判断,True
v106,505,\\sect\{([^{}]+)\},局部损失系数,局部损失系数,1,局部损失系数,True
v106,508,\\chap\{([^{}]+)\},母题6 边界层、外绕流阻力、综合收口,母题|边界层|外绕流阻力|综合收口,4,母题|边界层|外绕流阻力|综合收口,True
v106,510,\\sect\{([^{}]+)\},Prandtl 边界层/Blasius,Prandtl|边界层|Blasius,3,Prandtl|边界层|Blasius,True
