unit_id,source_item_id,split_no,chapter,topic_folder,mother,child_type,confidence,represent_score,need_original_confirm,source_group,source_label,question_no,question_text,source_file
U00002,Q0002,1,第7章 可压缩流,06_粘性管路_沿程局部损失_泵水轮机,母题5：可压缩流/Laval喷管/激波/膨胀波,Laval喷管背压-阻塞-正激波位置判定,高,37,否,往年期末题-主目录,2006.6流体力学期末真题.doc,2,2．第二部分 共80分，每题20分 [1]. 一水池有20?C的水1 m3，其底部接一ε约为0.0012的粗糙圆管（见右图）。求此时的出口流量Q（m3/h）。如果流体为SAE 10W30 号油，问圆管出口为湍流还是层流？（提示：本题若需迭代，初始值，迭代步数） [2]. 一充满氦气的气球由一细线栓于地面，细线的重量、阻力皆可忽略，环境空气为20?C和一个大气压。气球不含氦气时的材料重量为0.2N。气球内的氦气压力为120kPa，直径50cm。求：若风速分别为（a）4m/s和（b）24m/s时θ角是多少。 [3]. 考虑20?C的水以5m/s的速度流过直径1.2米的圆柱。请问需要多大强度的偶极子?来模拟这一流动？如果远处来流静压为150kPa，应用无粘理论，给出角度θ为(a) 180?、 (b) 135?、和(c) 90?时圆柱表面的压力。若该圆柱有环量Γ，求其为多少时θ??35°和145°处有驻点。 [4]. 空气流过一连接两大气源的Laval喷管，连接喉部和下游气源的水银柱高为（如右图）。估算下游气源压力。喷管中有正激波吗？如果有，它是在喷管出口还是上游一些？如果该喷管精确地运行于超音速的设计条件，水银柱高应为多少？,D:\虚拟C盘\学习\流体力学\题库\期末试题\2006.6流体力学期末真题.doc
U00004,Q0004,1,第7章 可压缩流,06_粘性管路_沿程局部损失_泵水轮机,母题5：可压缩流/Laval喷管/激波/膨胀波,Laval喷管背压-阻塞-正激波位置判定,高,37,否,往年期末题-主目录,2006年流体力学期末试卷.doc,2,2．第二部分 共80分，每题20分 [1]. 一水池有20?C的水1 m3，其底部接一ε约为0.0012的粗糙圆管（见右图）。求此时的出口流量Q（m3/h）。如果流体为SAE 10W30 号油，问圆管出口为湍流还是层流？（提示：本题若需迭代，初始值，迭代步数） [2]. 一充满氦气的气球由一细线栓于地面，细线的重量、阻力皆可忽略，环境空气为20?C和一个大气压。气球不含氦气时的材料重量为0.2N。气球内的氦气压力为120kPa，直径50cm。求：若风速分别为（a）4m/s和（b）24m/s时θ角是多少。 [3]. 考虑20?C的水以5m/s的速度流过直径1.2米的圆柱。请问需要多大强度的偶极子?来模拟这一流动？如果远处来流静压为150kPa，应用无粘理论，给出角度θ为(a) 180?、 (b) 135?、和(c) 90?时圆柱表面的压力。若该圆柱有环量Γ，求其为多少时θ??35°和145°处有驻点。 [4]. 空气流过一连接两大气源的Laval喷管，连接喉部和下游气源的水银柱高为（如右图）。估算下游气源压力。喷管中有正激波吗？如果有，它是在喷管出口还是上游一些？如果该喷管精确地运行于超音速的设计条件，水银柱高应为多少？ 更多清华大学本科试卷 尽在www.juanjuantx.com,D:\虚拟C盘\学习\流体力学\题库\期末试题\2006年流体力学期末试卷.doc
U00044,Q0044,1,第7章 可压缩流,05_可压缩流_喷管_激波_膨胀波,母题5：可压缩流/Laval喷管/激波/膨胀波,Laval喷管背压-阻塞-正激波位置判定,高,31,否,往年期末题-其他目录,2003上海交大流体力学期末试题及答案.pdf,五,"五．在一拉伐尔喷管中（参见中册183页图C5.4.5）,贮气箱中的参数为 T0 = 350 K, p0 = 106 Pa ；喷管 出口截面积Ae=0.001m2, 背压 pb = 9.3 × 10 Pa 。设喉部的马赫数 M t = 0.6, 5 γ = 1.4 ，求 (1) 出口参数 Te , ρ e , M e , Ve (2) 喉部参数 Tt , ρ t , pt , Vt , At 解法一：管内为等熵流 (1) 出口参数 γ −1 Te p 9.315 × 105 1.4",D:\虚拟C盘\学习\流体力学\题库\其他试题\2003上海交大流体力学期末试题及答案.pdf
U00001,Q0001,1,第7章 可压缩流,05_可压缩流_喷管_激波_膨胀波,母题5：可压缩流/Laval喷管/激波/膨胀波,Laval喷管背压-阻塞-正激波位置判定,高,26,否,往年期末题-主目录,2006.6流体力学期末真题.doc,1,1．第一部分 共20分，每题5分 [1]. 一直径为10cm长200m的光滑圆管水平连接着两个20℃的水槽，其中一个的水位为800m，另一为650m，问其流量约为多少？若管子粗糙，实际流量为100m3/h，问平均粗糙度是多少？ [2]. 一个直径2cm光滑铝球（SG=2.7）在20℃的静止水中下沉，若其基于迎风面积的阻力系数为0.5，问该球下沉的终极速度是多少。 [3]. 一个500K和200kPa的空气源为一喷管提供等熵流动，若在某截面的压力为150kPa，问该处的马赫数和温度各是多少？ [4]. 有一温度500K、压力300kPa的大空气容器连接一Laval喷管，其喉部面积为0.06平方米。若由其作定常等熵流动，最大质量流量为多少？,D:\虚拟C盘\学习\流体力学\题库\期末试题\2006.6流体力学期末真题.doc
U00003,Q0003,1,第7章 可压缩流,05_可压缩流_喷管_激波_膨胀波,母题5：可压缩流/Laval喷管/激波/膨胀波,Laval喷管背压-阻塞-正激波位置判定,高,26,否,往年期末题-主目录,2006年流体力学期末试卷.doc,1,1．第一部分 共20分，每题5分 [1]. 一直径为10cm长200m的光滑圆管水平连接着两个20℃的水槽，其中一个的水位为800m，另一为650m，问其流量约为多少？若管子粗糙，实际流量为100m3/h，问平均粗糙度是多少？ [2]. 一个直径2cm光滑铝球（SG=2.7）在20℃的静止水中下沉，若其基于迎风面积的阻力系数为0.5，问该球下沉的终极速度是多少。 [3]. 一个500K和200kPa的空气源为一喷管提供等熵流动，若在某截面的压力为150kPa，问该处的马赫数和温度各是多少？ [4]. 有一温度500K、压力300kPa的大空气容器连接一Laval喷管，其喉部面积为0.06平方米。若由其作定常等熵流动，最大质量流量为多少？,D:\虚拟C盘\学习\流体力学\题库\期末试题\2006年流体力学期末试卷.doc
U00728,Q0588,1,第7章 可压缩流,05_可压缩流_喷管_激波_膨胀波,母题5：可压缩流/Laval喷管/激波/膨胀波,Laval喷管背压-阻塞-正激波位置判定,高,22,否,课本教材题-张扬军文本,流体力学教材_text.txt,13.3,13.3.2 背压高于出口设计压强 这时，可再分为如下两种情况分别进行讨论。 (1) p2 < pb < p2k ，背压高于出口设计压强 p2 ，低于在出口截面上形成正激波时的背压 p2k 。当背压略高于出口设计压强时，超声速气流在出口受到压缩，在出口边缘 A 和 A1 处产 生两道斜激波，如图 13-16(b)所示。气流经斜激波后速度降低、压强升高，并向内侧偏转 δ 角。 背压继续升高，气流向内偏转角逐渐增大。当背压超过某一限值后，出口斜激波将形成拱桥 形激波系，如图 13-16(c)所示。当 pb = p2k 时，在出口截面将会形成正激波。激波位于喷管 出口的下游，出口上游喷管内部的气流参数仍和设计工况一致。 (2) p2k < pb < p2m ，背压大于在出口截面形成正激波时的压强，小于激波在喉部消失的 压强。当背压略高 p2k 时，为了适应正激波后气流压强的进一步升高，正激波将会向喷管内部 第 13 章 可压缩流体超声速流动 ·235· 移动，如图 13-16(d)所示。激波进入喷管内部后，激波前的马赫数与设计工况相比有所减小， 故激波强度会有所降低，波阻相应减弱。气流通过正激波后变为亚声速，在渐扩管段内继续 减速并升压，喷管中气流压强将按照图 13-15 中的曲线 AOK 2 L2 E2 进行变化。这种喷管设计出 口压强低于实际背压的情况称为气流膨胀过度。当背压进一步升高时，激波强度逐渐降低， 激波位置向渐扩喷管上游的喉部位置移动。当背压升高到 p2m 时，激波移动到喉部并消失， 此时气流参数达到临界值。由于背压高于喉部压强，气流在渐扩管段中为亚声速流动。减速 升压并且气流压强在出口处达到 p2m 。喷管内气体沿流动方向的压强变化过程如图 13-15 中 的曲线 AOE 所示。,D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt
U00705,Q0576,1,第7章 可压缩流,05_可压缩流_喷管_激波_膨胀波,母题5：可压缩流/Laval喷管/激波/膨胀波,Laval喷管背压-阻塞-正激波位置判定,中,21,否,课本教材题-张扬军文本,流体力学教材_text.txt,12,(12.4.3) 根据式(12.4.3)可以知道，摩擦的作用相当于使管道截面缩小。在渐缩管中，摩擦使亚声 速气流加速得更快，使超声速气流减速得更快。在渐扩管中，摩擦使亚声速气流减速变慢， 使超声速气流加速变慢。在等截面管道中，摩擦效应使得气流相当于在渐缩管中流动，从而 使亚声速气流加速，使超声速气流减速。但不可能使气流从亚声速连续加速到超声速，也不 可能使气流从超声速连续地减速到亚声速，所以极限速度只能是声速。由于摩擦的影响，此 时缩放喷管中气流的临界截面将不再位于喷管最小截面处。由于在临界截面上 Ma = 1 ，根据 式(12.4.3)可以得到 dA k dx A 2 d ·220· 流 体 力 学 于是有 dA > 0 ，即不论来流是亚声速或是超声速，气流总是在最小截面后的扩张段中才能达 到临界速度。下面进一步分析等截面管道中有摩擦的绝热流动，式(12.4.3)可以进一步写成 dV dh c p dT 1 dT =− =− =− (12.4.4) V 2 2 Ma a 2 Ma kRT Ma ( k − 1) T 2 将 V 2 = Ma 2 a 2 = Ma 2 kRT 两边进行微分，可以得到 dV dMa dT =2 + 2 (12.4.5) V Ma T 合并式(12.4.4)和式(12.4.5)，可以得到 dV dMa / Ma = (12.4.6) V Ma 2 ( k − 1) / 2 + 1 对于等截面管道，由于 dA = 0 ，根据式(12.4.3)有 2 ( Ma − 1) dVV = −λ kMa 2 dx 2 d 将式(12.4.6)代入上式并消去 V 有 2 1 − Ma 2 dMa ) = 2dMa k +1 dMa d kMa 3 ⎡ Ma 2 ( k − 1) / 2 + 1⎤ kMa 3 k Ma ⎡ Ma 2 ( k − 1) / 2 + 1⎤ ⎣ ⎦ ⎣ ⎦ 上式沿管道长度进行积分。积分上、下限分别为： x = 0 ， Ma = Mai ； x = l ， Ma = Ma ，有 1 ⎞ k + 1 ⎡⎛ Mai ⎞ ( k − 1) Ma + 2 ⎤ 2 2 l 1⎛ 1 λ = ⎜ − ⎟ + ln ⎢ ⎜ ⎟ ⎥ (12.4.7) d k ⎝ Mai2 Ma 2 ⎠ 2k ⎢⎣⎝ Ma ⎠ ( k − 1) Mai + 2 ⎥⎦ 2 其中， Mai 为管道入口气流马赫数。当 Ma = 1 时，可以得到管道长度达最大值： l 1⎛ 1 ⎞ k + 1 ⎡ ( k + 1) Mai2 ⎤ λ max = ⎜ − 1 ⎟+ ln ⎢ ⎥ (12.4.8) k ⎝ Mai2 ⎢⎣ ( k − 1) Mai +2 ⎥⎦ 2 d ⎠ 2k 显然，最大管长 lmax 与 Mai 有关。当管长 l < lmax 时，气流在出口处达,D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt
U00039,Q0039,1,第7章 可压缩流,05_可压缩流_喷管_激波_膨胀波,母题5：可压缩流/Laval喷管/激波/膨胀波,Laval喷管背压-阻塞-正激波位置判定,高,19,否,往年期末题-其他目录,2003上海交大流体力学期末试题及答案.pdf,10,10. 在收缩喷管的出口截面上达到声速时，流量达最大值，背压继续下降不能使流量增大。为此在后部再 连接扩张喷管，让气体达到超声速，可使流量进一步提高。 错，喉部达声速时流量最大，不可能再提高。 （计算题开卷）,D:\虚拟C盘\学习\流体力学\题库\其他试题\2003上海交大流体力学期末试题及答案.pdf
U00234,Q0228,1,概念综合,10_概念简答_综合证明,母题10：概念辨析/证明/综合判断,概念简答与证明,低-按原文件夹归类,19,否,课本/作业整理题,第5章第6章流体力学作业_标准教案.pdf,三,"三、第 5 章理想流体作业 题 1：定常平面流动的速度环量 题意 已知 vr = ar, vθ = 0, 其中 a 为常数。求图示闭合曲线沿路径方向的速度环量。 讲解思路 这题要让学生抓住一个核心点：速度只有径向分量，没有切向分量。因此，圆弧 段上速度与路径微元垂直，圆弧段环量为零；只有径向段可能有贡献。 板书步骤 速度环量定义为 I Γ= V · ds. 圆弧段上 ds = rdθ eθ , V = ar er . 3 V · ds = 0. 右侧径向段从 R1 到 R2 ： Z R2 Γ1 = ar dr = (R22 − R12 ). R1 2 左侧径向段方向相反，从 R2 到 R1 ： Z R1 Γ2 = ar dr = − (R22 − R12 ). R2 2 Γ = Γ1 + Γ2 = 0. Γ = 0. 易错点 • 不要把圆弧长度 rdθ 直接乘 vr 。圆弧方向是 eθ ，而速度方向是 er ，二者垂直。 • 两条径向段方向相反，所以贡献相互抵消。 题 2：书 4.12，膨胀球体诱导的压力场 题意 原静止无界理想均质不可压流体中，有一球形物体，其半径按 R(t) = 1 + 3t 膨胀。已知无穷远处压力为 p∞ ，流体密度为 ρ，质量力忽略，求压力场。 讲解思路 这题分三步：",D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章第6章流体力学作业_标准教案.pdf
U00410,Q0380,1,概念综合,10_概念简答_综合证明,母题10：概念辨析/证明/综合判断,概念简答与证明,低-按原文件夹归类,18,否,课本教材题-张扬军文本,流体力学教材_text.txt,3.1,"1.1 拉格朗日法 拉格朗日法通过如下两个方面来描述整个流体的运动状态。首先，描述某一运动流体质 点的各个物理量(如密度、速度等)随时间的变化规律；其次，描述相邻流体质点间这些物理 量的变化规律。流体质点是连续分布的，要研究某个确定流体质点的运动，首先必须建立一 个表征该流体质点的办法，以便识别和区分不同的流体质点。在每一时刻，每一个流体质点 都占据唯一确定的空间位置。一个显而易见的办法是以某一时刻 t = t0 各个质点的空间位置坐 标 ( a,b,c ) 来表征它们。不同的流体质点具有不同的 ( a,b,c ) 。为简单起见，先在直角坐标系中 进行讨论。 某流体质点( a1,b1,c1 )在空间运动时，它在直角坐标系中的位置将是时间 t 的函数： ⎧ x = x ( a1 , b1 , c1 , t ) ⎨ y = y ( a1 , b1 , c1 , t ) (3.1.1) ⎪ z = z (a ,b ,c ,t ) ⎩ 1 1 1 其中， a1、b1、c1 是与流体质点初始位置相关的常数，代表质点在 t = t0 时刻所处的空间位置。 当研究所有流体质点在空间的运动时，由于各个质点在 t = t0 时刻的坐标 ( a,b,c ) 不一样，各个 质点在任意时刻的空间位置将是 a ,b,c,t 这四个参数的函数 ⎧ x = x ( a, b, c, t ) ⎨ y = y ( a, b, c, t ) (3.1.2) ⎪ z = z ( a , b, c , t ) ·32· 流 体 力 学 当 a、 b、 c 固定时，式(3.1.2)代表某个确定流体质点的运动轨迹；当 t 固定时，式(3.1.2)代表 t 时刻流体各质点所处的空间位置，所以式(3.1.2)可以描述所有质点的运动。这里用来识别和 区分不同流体质点的参数 a、 b、 c 都应看作自变量，它们与时间 t 一起称为拉格朗日变量。显 然，在 t = t0 时刻，各质点的坐标等于 a ,b,c ，即 ⎧ x0 = x ( a, b, c, t0 ) = a ⎨ y0 = y ( a, b, c, t0 ) = b (3.1.3) ⎪ z = z ( a, b, c, t ) = c ⎩ 0 0 同理，其他物理量也应该是 t 及 a ,b,c 的函数。描述流体运动的拉格朗日法以一组数 ( a,b,c ) 作 为标记，这组数称为拉格朗日坐标或随体坐标。流体质点不管 什么时候、运动到哪，其拉格朗日坐标不变。换言之，拉格朗 日法着眼于流体质点，将流体质点的运动表示为拉格朗日坐标 和时间的函数。 如图",D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt
