item_id,source_label,question_no,inferred_topic,v10_percent,v14_adjusted_percent,audit_class,audit_action,audit_reason,needed_supplement,question_text,source_file
Q0029,流体力学2022春期末考试试题.pdf,简答14,粘性管路/沿程局部损失/泵水轮机,66.7,68.7,真限制：完整图表/查表,六页表保留“查什么、怎么接公式”；完整数值仍查允许携带的教材。若强塞全表，会牺牲更多通用题。,这是资料物理限制，不是单个公式缺失。,局部损失系数、粗糙度和物性仍需题给或查教材；v10 明确了 Moody、光滑管和局部损失速度的收口。,圆管中断面流速分布在层流流态和紊流流态分别是什么样的？,D:\虚拟C盘\学习\流体力学\题库\期末试题\流体力学2022春期末考试试题.pdf
Q0124,第5章理想流体_原题练习汇总_完整解答版.pdf,5.22,流体运动学/连续/流线迹线,58.0,66.0,真限制：长推导/边界条件衔接,v14 已给骨架；想拿满分需要考前按2-3题手写训练，把题目边界条件接到骨架上。,这类题靠速查表只能保结构分，不能替代推导熟练度。,若要求长篇推导或复杂坐标变换，仍需教材细节；v10 已足够支撑多数简答和基础计算过程。,"5.22 证明涡量二阶矩 Iω 为运动不变量 不可压平面有旋理想流动满足涡量输运方程 = 0. 不可压条件给出面积元随体不变： D( dA) = 0. 定义涡量加权中心 RR RR xω dA yω dA xc = RRA , yc = RRA . ω dA A ω dA 题中 RR [(x − xc )2 + (y − yc )2 ]ω(x, y) dx dy Iω = A RR . ω(x, y) dx dy 因为 ω dA 是随体守恒的加权量，所以分母 Γ= ω dA 15 守恒。 再对分子作随体导数： ZZ ZZ D D(rc2 ) rc2 ω dA = ω dA, Dt A A Dt rc2 = (x − xc )2 + (y − yc )2 . 由不可压平面理想流动的涡量加权二阶矩守恒性质，平移中心项与一阶矩守恒相消，故 r2 ω dA = 0. Dt A c 分子、分母均守恒，所以 DIω = 0.",D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.pdf
Q0288,第8章粘性流动作业_补全笔记.pdf,0,粘性管路/沿程局部损失/泵水轮机,66.0,68.0,真限制：完整图表/查表,六页表保留“查什么、怎么接公式”；完整数值仍查允许携带的教材。若强塞全表，会牺牲更多通用题。,这是资料物理限制，不是单个公式缺失。,局部损失系数、粗糙度和物性仍需题给或查教材；v10 明确了 Moody、光滑管和局部损失速度的收口。,"0. 这次作业为什么你的原笔记不够 你原来的笔记主要覆盖了“圆管层流”，也就是泊肃叶流动： ( ) ( ) 1 dp R dp 64 u(r) = − (R − r ), 2 2 τw = − , λ= . 4µ dx 2 dx Re 这能解决圆管压降、管内层流、阻力系数等题。但这次作业还需要另外三块： 知识块 典型题 核心公式 Vd 8µV̄ 圆管层流 1、8.4、7 Re = ，τw = ν D 小球低雷诺数 8.5、8.10 FD = 6πµaU 平板剪切流 8.6、8 µu′′ = ，τ = µu′ 涡量与流函数 9、10 Ωz = vx − uy ，u = ψy , v = −ψx",D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第8章粘性流动作业_补全笔记.pdf
Q0311,第七章作业3_更简写答案.md,1,概念简答/定义解释,35.0,41.0,假低分：二次整理稿/题干不完整,不建议继续占用六页空间；7.19/7.20/7.21 已在 P4/T4/Q7/M17 有专门流程。若要提高评测，应改用课本原题截图或完整转写。,可压第7章作业3的简写答案被当成题源，题干信息不足，分数偏低不等于速查表缺公式。,v10 已显著补强短答，但长论述、实验现象细节和教材原话仍可能扣少量分。,1. 书 7.19 （题干在原文件中为图片或标题索引，文字抽取不足。）,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第七章作业3_更简写答案.md
Q0312,第七章作业3_更简写答案.md,2,概念简答/定义解释,35.0,41.0,假低分：二次整理稿/题干不完整,不建议继续占用六页空间；7.19/7.20/7.21 已在 P4/T4/Q7/M17 有专门流程。若要提高评测，应改用课本原题截图或完整转写。,可压第7章作业3的简写答案被当成题源，题干信息不足，分数偏低不等于速查表缺公式。,v10 已显著补强短答，但长论述、实验现象细节和教材原话仍可能扣少量分。,2. 书 7.20 （题干在原文件中为图片或标题索引，文字抽取不足。）,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第七章作业3_更简写答案.md
Q0313,第七章作业3_更简写答案.md,3,概念简答/定义解释,35.0,41.0,假低分：二次整理稿/题干不完整,不建议继续占用六页空间；7.19/7.20/7.21 已在 P4/T4/Q7/M17 有专门流程。若要提高评测，应改用课本原题截图或完整转写。,可压第7章作业3的简写答案被当成题源，题干信息不足，分数偏低不等于速查表缺公式。,v10 已显著补强短答，但长论述、实验现象细节和教材原话仍可能扣少量分。,3. 书 7.21 （题干在原文件中为图片或标题索引，文字抽取不足。）,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第七章作业3_更简写答案.md
Q0314,第七章作业3_更简写答案.md,4,可压缩流/喷管/激波/膨胀波,35.0,40.0,假低分：二次整理稿/题干不完整,不建议继续占用六页空间；7.19/7.20/7.21 已在 P4/T4/Q7/M17 有专门流程。若要提高评测，应改用课本原题截图或完整转写。,可压第7章作业3的简写答案被当成题源，题干信息不足，分数偏低不等于速查表缺公式。,斜激波图、PM 函数和面积-马赫数完整表仍可能需要教材；v10 把查表输入和后续接公式写得更明确。,4. 自编喷管题 （题干在原文件中为图片或标题索引，文字抽取不足。）,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第七章作业3_更简写答案.md
Q0315,第七章作业3_简写答案.md,1,概念简答/定义解释,35.0,41.0,假低分：二次整理稿/题干不完整,不建议继续占用六页空间；7.19/7.20/7.21 已在 P4/T4/Q7/M17 有专门流程。若要提高评测，应改用课本原题截图或完整转写。,可压第7章作业3的简写答案被当成题源，题干信息不足，分数偏低不等于速查表缺公式。,v10 已显著补强短答，但长论述、实验现象细节和教材原话仍可能扣少量分。,1. 书 7.19 （题干在原文件中为图片或标题索引，文字抽取不足。）,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第七章作业3_简写答案.md
Q0316,第七章作业3_简写答案.md,2,概念简答/定义解释,35.0,41.0,假低分：二次整理稿/题干不完整,不建议继续占用六页空间；7.19/7.20/7.21 已在 P4/T4/Q7/M17 有专门流程。若要提高评测，应改用课本原题截图或完整转写。,可压第7章作业3的简写答案被当成题源，题干信息不足，分数偏低不等于速查表缺公式。,v10 已显著补强短答，但长论述、实验现象细节和教材原话仍可能扣少量分。,2. 书 7.20 （题干在原文件中为图片或标题索引，文字抽取不足。）,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第七章作业3_简写答案.md
Q0317,第七章作业3_简写答案.md,3,概念简答/定义解释,35.0,41.0,假低分：二次整理稿/题干不完整,不建议继续占用六页空间；7.19/7.20/7.21 已在 P4/T4/Q7/M17 有专门流程。若要提高评测，应改用课本原题截图或完整转写。,可压第7章作业3的简写答案被当成题源，题干信息不足，分数偏低不等于速查表缺公式。,v10 已显著补强短答，但长论述、实验现象细节和教材原话仍可能扣少量分。,3. 书 7.21 （题干在原文件中为图片或标题索引，文字抽取不足。）,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第七章作业3_简写答案.md
Q0318,第七章作业3_简写答案.md,4,可压缩流/喷管/激波/膨胀波,35.0,40.0,假低分：二次整理稿/题干不完整,不建议继续占用六页空间；7.19/7.20/7.21 已在 P4/T4/Q7/M17 有专门流程。若要提高评测，应改用课本原题截图或完整转写。,可压第7章作业3的简写答案被当成题源，题干信息不足，分数偏低不等于速查表缺公式。,斜激波图、PM 函数和面积-马赫数完整表仍可能需要教材；v10 把查表输入和后续接公式写得更明确。,4. 自编喷管题 （题干在原文件中为图片或标题索引，文字抽取不足。）,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第七章作业3_简写答案.md
Q0323,01_课本题目补全.md,4,概念简答/定义解释,35.0,41.0,假低分：题号索引未补原题,不改六页内容；完整题目/答案已另见 07_书10.2_平板层流边界层.md、10_书10.10_火车摩擦阻力功率.md 和 13_粘性流动作业-2_题目与答案.tex。,当前低分来自题号索引副本，不是完整题；完整题源在同一作业文件夹中已经存在。,v10 已显著补强短答，但长论述、实验现象细节和教材原话仍可能扣少量分。,4. 书 10.2 （题干在原文件中为图片或标题索引，文字抽取不足。）,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\粘性流动作业-2\01_课本题目补全.md
