指标,数值,说明
视频,eb84ad233085c38dae1687a33b4dc52f.mp4,
帧数,98,完整逐帧读取
帧率,29.000,fps
时长,3.379,s
直尺标定,28.8000 ± 0.2275,px/cm
标定方法,自动检测直尺暗带,直尺刻度可见，使用刻度网格
水面ROI,"x=5:1275, y=129:400",px
入射方向,向右,2D FFT方向能量判断
低反射窗口,frame 25-53 / 0.862-1.828 s,
窗口反射/入射幅值比,0.1809,
窗口反射/入射能量比,0.0315,
全局FFT反向/入射能量比,0.0288,诊断值
直接宽峰距,22.01 ± 1.59 cm（n=12，median=21.93 cm）,低反射窗口
入射分量宽峰距,22.14 ± 2.51 cm（n=38，median=21.53 cm）,低反射窗口
直接局部峰距,11.36 ± 2.62 cm（n=9，median=11.25 cm）,次级/局部结构
入射FFT波长,22.05,cm，仅诊断
是否需要考虑驻波/反射,不需要强驻波修正,不需要把强驻波/强反射作为主模型；以低反射窗口直接宽峰距和入射分量峰距为主。
